	name	organization	url	url of their twitter	updated twitter account link	predicted twitter ID	candidates											
114	Muhammad Imran	"Agriculture University, Peshawar"	https://scholar.google.com/citations?hl=en&user=03JQgaYAAAAJ	N/A	N/A	N/A												
115	Konstantinos Demestichas	National Technical University of Athens	https://scholar.google.com/citations?hl=en&user=WmWbc0MAAAAJ	https://twitter.com/kdemestichas	https://twitter.com/kdemestichas	Carma_Project	Carma_Project											
116	Jose Segovia-Juarez	National Academy of Sciences of Peru	https://scholar.google.com/citations?hl=en&user=TYctETkAAAAJ	https://twitter.com/joselsegoviaj	https://twitter.com/joselsegoviaj	JoseLSegoviaJ	JoseLSegoviaJ	joselsegoviaj	westtexkid									
117	anirudh prabhu	Carnegie Institution for Science	https://scholar.google.com/citations?hl=en&user=IPqhTlYAAAAJ	https://twitter.com/Anirudh_14	https://twitter.com/Anirudh_14	Anirudh_14	Anirudh_14	sushana26	aMRAC	AnirudhPrabhu16	anirudh11prabhu	PrabhuAnirudh	AnirudhPrabhu5	SimplyPickle_	AnirudhPrabhu3	AnirudhPrabhu15		
118	Reinhard Rapp	University of Mainz	https://scholar.google.com/citations?hl=en&user=RVz6pI4AAAAJ	N/A	N/A	N/A												
119	S. Karthick	Research Scholar	https://scholar.google.com/citations?hl=en&user=3gBKdgIAAAAJ	N/A	N/A	karthick_6390	karthick_6390	Karthick_6390	karthickhps	karthiksnarain	karthickr	karthickkrishna	beastoftraal	karthicknaren_m	dp_karthik	Karthikravivarm		
120	Steffen Schnitzer	Technische Universität Darmstadt - Multimedia Communications Lab	https://scholar.google.com/citations?hl=en&user=bVekWzYAAAAJ	https://twitter.com/steffenms	N/A	s13ffen	s13ffen	SteffenSchnitz2										
121	Ajith Pasqual	"Senior Lecturer, University of Moratuwa"	https://scholar.google.com/citations?hl=en&user=Q3N04jcAAAAJ	https://twitter.com/aapasqual	https://twitter.com/aapasqual	aapasqual	sanjiva	nishansiriwarde	aapasqual	entc_uom	jayathriw	paraqum	ENTC_2012					
122	Arun Kaintura	K-Structura Consultancy	https://scholar.google.com/citations?hl=en&user=4GW4reUAAAAJ	N/A	N/A	N/A												
123	Timur Bagautdinov	Facebook Reality Labs Research	https://scholar.google.com/citations?hl=en&user=oLi7xJ0AAAAJ	https://twitter.com/psycharo	https://twitter.com/psycharo	N/A												
124	Gert van der Vloed	PhD in Cognitive Sciene	https://scholar.google.com/citations?hl=en&user=XVNVXVIAAAAJ	N/A	N/A	gertvandervloed	gertvandervloed											
125	Fatemehsadat Tabei	Faculty @ West Texas A&M University	https://scholar.google.com/citations?hl=en&user=daJ-QtIAAAAJ	N/A	N/A	N/A												
126	Ane Alberdi Aramendi	Researcher/Lecturer at Mondragon Unibertsitatea	https://scholar.google.com/citations?hl=en&user=9shNszYAAAAJ	N/A	N/A	N/A												
