	name	organization	url	url of their twitter	updated twitter account link	predicted twitter ID	candidates									
122	Arun Kaintura	K-Structura Consultancy	https://scholar.google.com/citations?hl=en&user=4GW4reUAAAAJ	N/A	N/A	cantione	cantione									
123	Timur Bagautdinov	Facebook Reality Labs Research	https://scholar.google.com/citations?hl=en&user=oLi7xJ0AAAAJ	https://twitter.com/psycharo	https://twitter.com/psycharo	psycharo	psycharo									
124	Gert van der Vloed	PhD in Cognitive Sciene	https://scholar.google.com/citations?hl=en&user=XVNVXVIAAAAJ	N/A	N/A	gertvandervloed	gertvandervloed									
125	Fatemehsadat Tabei	Faculty @ West Texas A&M University	https://scholar.google.com/citations?hl=en&user=daJ-QtIAAAAJ	N/A	N/A	N/A										
126	Ane Alberdi Aramendi	Researcher/Lecturer at Mondragon Unibertsitatea	https://scholar.google.com/citations?hl=en&user=9shNszYAAAAJ	N/A	N/A	maddaleniriarte	maddaleniriarte									
127	Giuseppe Rizzo	LINKS Foundation	https://scholar.google.com/citations?hl=en&user=1pG7J3cAAAAJ	https://twitter.com/giusepperizzo	https://twitter.com/giusepperizzo	giusepperizzo	giusepperizzo									
128	Rudi Schäfer	"Privatdozent für Physik, Universität Duisburg-Essen"	https://scholar.google.com/citations?hl=en&user=IIRkH3UAAAAJ	N/A	N/A	shann_schaefer	shann_schaefer									
129	Kyuyeon Hwang	"Siri, Apple"	https://scholar.google.com/citations?hl=en&user=ebMDwfsAAAAJ	N/A	N/A	N/A	Paraparaku									
130	Xi Sheryl Zhang	"Institute of Automation, Chinese Academy of Sciences"	https://scholar.google.com/citations?hl=en&user=2rI0LRoAAAAJ	https://twitter.com/sheryl_zx	https://twitter.com/sheryl_zx	sheryl_zx	sheryl_zx									
131	Omar Nasr	"Cairo University, Faculty of Engineering"	https://scholar.google.com/citations?hl=en&user=7Qvf8TAAAAAJ	N/A	N/A	islamnasr	islamnasr									
132	Naveen Shankar Nagaraja	"Senior Machine Learning Engineer, BMW Group"	https://scholar.google.com/citations?hl=en&user=TP-_rb0AAAAJ	N/A	N/A	nsn86	nsn86									
133	Nattiya Kanhabua	Digital Labs at SCG	https://scholar.google.com/citations?hl=en&user=ydcgV2oAAAAJ	https://twitter.com/nattiyak	https://twitter.com/nattiyak	nattiyak	nattiyak									
134	Xiaocheng Tang (唐小程)	"Staff Scientist and Team Lead, DiDi Labs Mountain View"	https://scholar.google.com/citations?hl=en&user=fSrzDjIAAAAJ	https://twitter.com/xiaochengtang	https://twitter.com/xiaochengtang	N/A										
135	Kye-Hyeon Kim	Superb AI Inc.	https://scholar.google.com/citations?hl=en&user=PbMZ0lQAAAAJ	N/A	N/A	eche_unist	eche_unist									
136	Callum L. Stewart	"PhD Student, King's College London"	https://scholar.google.com/citations?hl=en&user=lqWSomAAAAAJ	N/A	N/A	cccoultas	cccoultas									
137	Boyu Chen	Dalian University of Technology	https://scholar.google.com/citations?hl=en&user=o5wjqPEAAAAJ	N/A	N/A	SingYoungChen1	chen_yonglin	SingYoungChen1	chaohaoc	snoowayc	QiangTang7					
138	Hai Wan	Sun Yat-sen University	https://scholar.google.com/citations?hl=en&user=ORaFwCsAAAAJ	N/A	N/A	zaozaowh	zaozaowh									
